abbr,AK,AL,AR,AZ,CA,CO,CT,DE,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
AK,,0.565,,,,,,,,,,,,,,0.712,,0.703,0.337,,0.869,,,,,,0.681,0.589,,0.704,,,,,,0.616,,,,,,0.52,,
AL,,,0.794,0.652,,,,,0.683,,,0.567,,,,0.531,,,0.338,0.708,,,,,,,,0.626,,,,,0.567,,,0.449,0.537,,,,,0.579,,0.695
AR,,0.794,,0.694,,,0.33,,,,,0.671,,,,0.477,,,0.404,0.585,,,,,,,,,,,,,0.592,,,0.539,0.454,,0.668,,,0.472,,0.615
AZ,,,0.694,,0.815,,0.562,,,,,,,,,0.542,,,,,,,,,0.633,,,0.622,,0.739,,,,,,0.326,,,,,,0.515,,
CA,,,0.669,0.815,,,0.624,,,,,0.666,0.596,,,0.528,,,,,,,,,0.611,,,0.59,,,,,0.706,,,0.316,,,,,,0.519,,0.595
CO,,,0.543,,,,0.541,,,0.842,,,,,,0.597,0.731,0.845,0.414,,,,,,,,,0.602,,0.796,,,,,,0.716,0.476,,,,0.52,0.553,,
CT,,,0.33,,,,,,,,,,,,0.691,0.369,,,,,0.323,,,,0.595,,,,,,,,,,,0.337,,,,0.466,,0.389,,
DE,,,,,,,0.652,,,,,,,,,0.722,,,,,,,,,0.77,,,,,,,,0.903,,,0.451,,0.629,,,,0.518,,0.75
FL,,0.539,,,0.335,,,,,,,,,0.781,,,,,,,,,,,,,,0.575,,,,,,,,,0.395,,,,,0.509,,
GA,,0.67,,0.511,,,,,,,,,,,,0.501,,,,,,,,,0.632,,,,,,,,0.434,,0.852,,0.605,,,,,0.629,,
HI,,0.645,,,,,,,,,,,0.467,,,0.418,,,,0.798,,,,,,,,0.497,,,,,,,,,,,,,0.538,0.572,,0.649
IA,,0.557,,,,,,,,,,,0.629,,,0.654,0.619,,0.332,,0.879,,,,,,,,,,,,,,,0.637,,,,,0.62,0.542,,
