abbr,feature,lag,best_corr,p_value,type,best_orig_corr
KS,KS,3,1.0,0.0,region,1.0
KS,CT,49,0.5942084033727401,3.340038812345924e-61,region,0.5942084033727401
KS,WY,49,0.5512241092158414,3.3647505308964255e-51,region,0.5512241092158414
KS,NM,49,0.5149529435563354,8.037119039357202e-44,region,0.5149529435563354
KS,IL,0,0.5136844842907562,7.303441788167419e-43,region,0.5136844842907562
KS,MI,14,0.5132619661000385,1.0831639646946167e-41,region,0.5132619661000385
KS,IN,0,0.511241753361606,2.191170105681607e-42,region,0.511241753361606
KS,new_intensive_care_patients,47,0.4963114713003896,1.3621057110870194e-37,hospitalizations,0.4963114713003896
KS,NE,0,0.4875274766916473,5.842843206110457e-38,region,0.4875274766916473
KS,UT,3,0.4787734732490114,4.8323142280610006e-37,region,0.4787734732490114
KS,CO,49,0.467963501861015,1.7075647176724426e-35,region,0.467963501861015
KS,KY,0,0.4641179425631007,9.202687623950509e-34,region,0.4641179425631007
KS,NV,0,0.4587380473171674,8.412896807333886e-34,region,0.4587380473171674
KS,OK,40,0.4563943237960055,1.7139117034846613e-33,region,0.4563943237960055
KS,ID,49,0.445536303540285,5.932130583579676e-32,region,0.445536303540285
KS,DE,46,0.4412774998597403,2.755586861110575e-31,region,0.4412774998597403
KS,cumulative_vaccine_doses_administered_janssen,49,0.4411521204648165,3.0810863055413294e-14,vaccinations,0.4411521204648165
KS,OH,46,0.4399406330878395,4.397011500067007e-31,region,0.4399406330878395
KS,cumulative_persons_fully_vaccinated_janssen,49,0.4392214399346009,4.09988570642869e-14,vaccinations,0.4392214399346009
KS,cumulative_persons_fully_vaccinated_pfizer,49,0.4383848761425395,4.637528954110364e-14,vaccinations,0.4383848761425395
KS,cumulative_vaccine_doses_administered_pfizer,42,0.4373695509147807,6.079814111687386e-14,vaccinations,0.4373695509147807
KS,SD,13,0.4329057027833593,5.337566543810097e-30,region,0.4329057027833593
KS,WI,48,0.4314563641610329,8.533374412547911e-30,region,0.4314563641610329
KS,VA,6,0.4299037611950803,8.196444695836607e-29,region,0.4299037611950803
KS,cumulative_persons_fully_vaccinated,49,0.4294408686386688,1.6956243289477524e-13,vaccinations,0.4294408686386688
KS,cumulative_vaccine_doses_administered,42,0.4293311167145947,1.7509672538430184e-13,vaccinations,0.4293311167145947
