,lag,lag,lag,lag,lag,lag,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr
,mean,median,std,min,max,count,mean,median,std,min,max
feature,,,,,,,,,,,
search_trends_hypogonadism,48.0,48.0,,48,48,1,0.708,0.708,,0.708,0.708
search_trends_ageusia,39.35,49.0,18.514,0,49,20,0.695,0.7,0.109,0.414,0.853
search_trends_epiphora,28.0,28.0,,28,28,1,0.62,0.62,,0.62,0.62
search_trends_hypoxemia,39.273,48.5,16.181,0,49,22,0.598,0.619,0.13,0.312,0.81
search_trends_anosmia,26.316,20.0,21.703,0,49,19,0.567,0.595,0.126,0.305,0.728
search_trends_dysgeusia,43.444,49.0,14.626,0,49,18,0.558,0.582,0.107,0.336,0.77
search_trends_nausea,49.0,49.0,,49,49,1,0.511,0.511,,0.511,0.511
search_trends_encephalopathy,8.0,8.0,,8,8,1,0.471,0.471,,0.471,0.471
search_trends_neuralgia,8.0,8.0,,8,8,1,0.459,0.459,,0.459,0.459
search_trends_eye_pain,38.091,48.0,17.835,0,49,11,0.447,0.423,0.113,0.304,0.667
search_trends_melena,24.5,24.5,34.648,0,49,2,0.437,0.437,0.161,0.323,0.55
search_trends_dyspareunia,3.0,3.0,,3,3,1,0.432,0.432,,0.432,0.432
search_trends_visual_acuity,10.0,10.0,,10,10,1,0.43,0.43,,0.43,0.43
search_trends_attention_deficit_hyperactivity_disorder,6.5,6.5,4.95,3,10,2,0.429,0.429,0.033,0.405,0.452
search_trends_stuttering,8.0,8.0,,8,8,1,0.417,0.417,,0.417,0.417
search_trends_bradycardia,25.75,31.0,21.927,0,49,8,0.417,0.418,0.066,0.322,0.495
search_trends_periorbital_puffiness,32.0,47.0,27.731,0,49,3,0.412,0.394,0.094,0.328,0.513
search_trends_allergy,47.0,47.0,,47,47,1,0.407,0.407,,0.407,0.407
search_trends_nasal_congestion,17.429,3.0,22.441,0,49,7,0.406,0.404,0.07,0.315,0.487
search_trends_binge_eating,47.0,47.0,,47,47,1,0.405,0.405,,0.405,0.405
search_trends_wart,1.667,1.0,1.155,1,3,3,0.402,0.382,0.054,0.361,0.462
search_trends_throat_irritation,47.0,47.0,,47,47,1,0.401,0.401,,0.401,0.401
search_trends_croup,47.0,47.0,,47,47,1,0.397,0.397,,0.397,0.397
search_trends_avoidant_personality_disorder,3.286,3.0,3.546,0,10,7,0.396,0.379,0.059,0.311,0.506
search_trends_stretch_marks,45.5,45.5,2.121,44,47,2,0.394,0.394,0.059,0.352,0.435
search_trends_palpitations,47.5,48.5,2.747,40,49,12,0.394,0.403,0.047,0.302,0.471
search_trends_itch,4.0,4.0,,4,4,1,0.392,0.392,,0.392,0.392
search_trends_actinic_keratosis,2.5,2.5,2.121,1,4,2,0.391,0.391,0.055,0.352,0.429
search_trends_pericarditis,48.5,49.0,1.0,47,49,4,0.391,0.377,0.048,0.352,0.458
search_trends_shivering,32.0,32.0,,32,32,1,0.39,0.39,,0.39,0.39
search_trends_underweight,0.0,0.0,0.0,0,0,4,0.39,0.385,0.057,0.327,0.463
search_trends_grandiosity,47.667,49.0,2.422,43,49,6,0.389,0.4,0.047,0.305,0.441
search_trends_ear_pain,3.0,3.0,,3,3,1,0.387,0.387,,0.387,0.387
search_trends_swollen_feet,1.0,1.0,,1,1,1,0.387,0.387,,0.387,0.387
search_trends_sinusitis,28.5,28.5,28.991,8,49,2,0.386,0.386,0.053,0.348,0.424
search_trends_rumination,27.0,27.0,,27,27,1,0.385,0.385,,0.385,0.385
search_trends_morning_sickness,11.0,11.0,,11,11,1,0.382,0.382,,0.382,0.382
search_trends_oral_candidiasis,47.0,47.0,,47,47,1,0.382,0.382,,0.382,0.382
search_trends_pleural_effusion,10.0,10.0,,10,10,1,0.378,0.378,,0.378,0.378
search_trends_pus,32.5,41.0,22.457,0,48,4,0.378,0.369,0.044,0.335,0.439
search_trends_bells_palsy,42.5,48.0,10.983,21,49,12,0.377,0.375,0.055,0.305,0.487
search_trends_lymphedema,4.0,4.0,,4,4,1,0.376,0.376,,0.376,0.376
search_trends_burning_mouth_syndrome,29.0,25.5,18.341,12,49,6,0.374,0.356,0.065,0.316,0.497
search_trends_laryngitis,41.0,41.0,8.485,35,47,2,0.374,0.374,0.061,0.33,0.417
search_trends_toothache,1.0,1.0,,1,1,1,0.373,0.373,,0.373,0.373
search_trends_sharp_pain,7.5,7.5,9.192,1,14,2,0.373,0.373,0.09,0.31,0.437
search_trends_lightheadedness,0.0,0.0,,0,0,1,0.373,0.373,,0.373,0.373
search_trends_dermatitis,21.0,21.0,8.485,15,27,2,0.37,0.37,0.092,0.305,0.435
search_trends_inflammation,1.0,1.0,,1,1,1,0.368,0.368,,0.368,0.368
search_trends_facial_nerve_paralysis,43.0,48.0,10.009,22,49,12,0.368,0.364,0.054,0.303,0.478
search_trends_cramp,0.0,0.0,,0,0,1,0.368,0.368,,0.368,0.368
search_trends_skin_tag,8.75,0.5,16.84,0,34,4,0.365,0.346,0.056,0.32,0.446
search_trends_blushing,5.0,5.0,7.071,0,10,2,0.365,0.365,0.067,0.318,0.412
search_trends_bloating,1.8,2.0,0.837,1,3,5,0.361,0.37,0.028,0.321,0.396
search_trends_anal_fissure,30.0,30.0,16.971,18,42,2,0.361,0.361,0.078,0.306,0.416
search_trends_meningitis,0.5,0.5,0.707,0,1,2,0.36,0.36,0.039,0.332,0.387
search_trends_tachycardia,13.0,13.0,5.657,9,17,2,0.357,0.357,0.021,0.342,0.373
search_trends_impulsivity,8.333,7.5,5.538,2,18,6,0.356,0.339,0.055,0.301,0.436
search_trends_hematochezia,8.0,8.0,,8,8,1,0.356,0.356,,0.356,0.356
search_trends_pyelonephritis,35.667,48.0,22.234,10,49,3,0.353,0.32,0.058,0.319,0.42
search_trends_fibrocystic_breast_changes,10.0,10.0,,10,10,1,0.353,0.353,,0.353,0.353
search_trends_urinary_urgency,48.0,48.0,,48,48,1,0.353,0.353,,0.353,0.353
search_trends_red_eye,46.0,46.0,,46,46,1,0.352,0.352,,0.352,0.352
search_trends_rosacea,48.0,48.0,,48,48,1,0.35,0.35,,0.35,0.35
search_trends_tinnitus,49.0,49.0,,49,49,1,0.349,0.349,,0.349,0.349
search_trends_bruxism,12.0,4.0,17.436,0,32,3,0.349,0.335,0.028,0.33,0.381
search_trends_clouding_of_consciousness,40.25,47.5,15.521,17,49,4,0.348,0.331,0.05,0.31,0.422
search_trends_headache,0.0,0.0,,0,0,1,0.347,0.347,,0.347,0.347
search_trends_dysautonomia,8.0,8.0,,8,8,1,0.347,0.347,,0.347,0.347
search_trends_allergic_conjunctivitis,23.0,23.0,23.0,0,46,3,0.347,0.335,0.04,0.314,0.392
search_trends_auditory_hallucination,3.0,3.0,,3,3,1,0.347,0.347,,0.347,0.347
search_trends_urethritis,8.0,8.0,,8,8,1,0.347,0.347,,0.347,0.347
search_trends_hypochondriasis,8.0,8.0,,8,8,1,0.346,0.346,,0.346,0.346
search_trends_cheilitis,7.5,0.5,14.341,0,29,4,0.346,0.331,0.043,0.314,0.406
search_trends_dandruff,49.0,49.0,0.0,49,49,2,0.345,0.345,0.053,0.307,0.383
search_trends_postural_orthostatic_tachycardia_syndrome,4.0,4.0,,4,4,1,0.344,0.344,,0.344,0.344
search_trends_dystonia,42.0,42.0,,42,42,1,0.344,0.344,,0.344,0.344
search_trends_round_ligament_pain,49.0,49.0,0.0,49,49,3,0.34,0.355,0.034,0.302,0.365
search_trends_bunion,47.0,47.0,,47,47,1,0.34,0.34,,0.34,0.34
search_trends_hypoxia,26.5,26.5,31.82,4,49,2,0.337,0.337,0.021,0.322,0.352
search_trends_sputum,19.0,19.0,,19,19,1,0.337,0.337,,0.337,0.337
search_trends_chills,11.0,11.0,,11,11,1,0.337,0.337,,0.337,0.337
search_trends_post_nasal_drip,0.0,0.0,0.0,0,0,2,0.336,0.336,0.016,0.325,0.348
search_trends_upper_respiratory_tract_infection,11.0,11.0,,11,11,1,0.336,0.336,,0.336,0.336
search_trends_hypermobility,12.0,12.0,,12,12,1,0.336,0.336,,0.336,0.336
search_trends_hyperemesis_gravidarum,3.0,3.0,,3,3,1,0.335,0.335,,0.335,0.335
search_trends_anaphylaxis,0.0,0.0,,0,0,1,0.335,0.335,,0.335,0.335
search_trends_milium,3.0,3.0,,3,3,1,0.334,0.334,,0.334,0.334
search_trends_indigestion,4.0,4.0,,4,4,1,0.333,0.333,,0.333,0.333
search_trends_apnea,10.0,10.0,,10,10,1,0.333,0.333,,0.333,0.333
search_trends_testicular_pain,27.0,27.0,,27,27,1,0.333,0.333,,0.333,0.333
search_trends_otitis_externa,0.0,0.0,,0,0,1,0.332,0.332,,0.332,0.332
search_trends_food_craving,14.333,1.0,23.094,1,41,3,0.328,0.307,0.04,0.303,0.375
search_trends_polyuria,25.0,25.0,,25,25,1,0.328,0.328,,0.328,0.328
search_trends_hepatitis,18.0,18.0,18.385,5,31,2,0.328,0.328,0.033,0.305,0.351
search_trends_nasal_polyp,4.0,4.0,,4,4,1,0.328,0.328,,0.328,0.328
search_trends_excessive_daytime_sleepiness,24.0,24.0,31.113,2,46,2,0.326,0.326,0.017,0.314,0.339
search_trends_poor_posture,0.333,0.0,0.577,0,1,3,0.325,0.32,0.028,0.301,0.355
search_trends_autoimmune_disease,23.5,23.5,33.234,0,47,2,0.324,0.324,0.031,0.301,0.346
search_trends_food_intolerance,24.5,24.5,34.648,0,49,2,0.324,0.324,0.025,0.306,0.342
search_trends_leukorrhea,3.0,3.0,,3,3,1,0.324,0.324,,0.324,0.324
search_trends_compulsive_hoarding,28.0,30.0,15.62,10,44,5,0.322,0.31,0.028,0.3,0.367
search_trends_sensitivity_to_sound,48.0,48.0,,48,48,1,0.322,0.322,,0.322,0.322
search_trends_gout,0.0,0.0,0.0,0,0,4,0.321,0.307,0.031,0.302,0.367
search_trends_angioedema,30.0,30.0,22.627,14,46,2,0.321,0.321,0.004,0.318,0.324
search_trends_cataplexy,3.0,3.0,,3,3,1,0.32,0.32,,0.32,0.32
search_trends_amenorrhea,3.0,3.0,,3,3,1,0.319,0.319,,0.319,0.319
search_trends_sleep_deprivation,6.0,6.0,,6,6,1,0.318,0.318,,0.318,0.318
search_trends_middle_back_pain,25.0,25.0,33.941,1,49,2,0.317,0.317,0.01,0.31,0.324
search_trends_gastroparesis,8.0,8.0,,8,8,1,0.314,0.314,,0.314,0.314
search_trends_eczema,27.0,27.0,,27,27,1,0.313,0.313,,0.313,0.313
search_trends_dentin_hypersensitivity,23.0,23.0,,23,23,1,0.311,0.311,,0.311,0.311
search_trends_pleurisy,2.0,2.0,,2,2,1,0.308,0.308,,0.308,0.308
search_trends_neck_pain,22.0,22.0,,22,22,1,0.307,0.307,,0.307,0.307
search_trends_pancreatitis,11.0,11.0,,11,11,1,0.306,0.306,,0.306,0.306
search_trends_bacterial_vaginosis,3.0,3.0,,3,3,1,0.305,0.305,,0.305,0.305
search_trends_braxton_hicks_contractions,3.0,3.0,,3,3,1,0.304,0.304,,0.304,0.304
search_trends_polydipsia,46.0,46.0,,46,46,1,0.303,0.303,,0.303,0.303
search_trends_encephalitis,40.0,40.0,,40,40,1,0.302,0.302,,0.302,0.302
search_trends_burn,8.0,8.0,,8,8,1,0.302,0.302,,0.302,0.302
search_trends_desquamation,0.0,0.0,,0,0,1,0.301,0.301,,0.301,0.301
search_trends_xeroderma,26.0,26.0,,26,26,1,0.3,0.3,,0.3,0.3
search_trends_weakness,14.0,14.0,,14,14,1,0.3,0.3,,0.3,0.3
search_trends_melasma,10.182,3.0,16.899,0,49,11,0.285,0.345,0.208,-0.339,0.387
search_trends_telangiectasia,24.417,24.5,22.569,0,49,12,0.244,0.364,0.287,-0.367,0.422
search_trends_abdominal_obesity,19.417,2.0,23.153,0,49,12,0.242,0.442,0.404,-0.444,0.6
search_trends_water_retention,14.182,2.0,22.176,0,49,11,0.24,0.368,0.298,-0.364,0.408
search_trends_skin_condition,25.222,30.0,23.952,0,49,9,0.199,0.346,0.359,-0.456,0.434
search_trends_acne,20.667,10.0,24.786,3,49,3,0.195,0.424,0.498,-0.377,0.537
search_trends_skin_rash,32.636,47.0,21.611,0,49,11,0.187,0.394,0.41,-0.476,0.489
search_trends_impetigo,45.4,45.0,2.702,42,49,5,0.186,0.302,0.31,-0.364,0.388
search_trends_diarrhea,45.0,48.0,6.083,38,49,3,0.164,0.335,0.442,-0.338,0.494
search_trends_photodermatitis,17.5,10.0,22.174,1,49,4,0.164,0.32,0.338,-0.342,0.359
search_trends_hives,28.1,35.0,22.427,0,49,10,0.146,0.391,0.405,-0.509,0.42
search_trends_edema,15.0,2.0,23.245,0,49,7,0.132,0.312,0.345,-0.419,0.387
search_trends_rheum,30.333,42.0,26.502,0,49,3,0.101,0.304,0.38,-0.338,0.338
search_trends_hay_fever,26.667,23.0,20.744,8,49,3,0.09,0.315,0.417,-0.39,0.347
search_trends_erythema_chronicum_migrans,29.4,47.0,24.473,0,49,10,0.049,0.314,0.402,-0.474,0.444
search_trends_motion_sickness,49.0,49.0,0.0,49,49,2,0.02,0.02,0.456,-0.302,0.342
search_trends_self_harm,26.5,26.5,31.82,4,49,2,0.005,0.005,0.458,-0.319,0.329
search_trends_cardiac_arrest,25.0,25.0,33.941,1,49,2,-0.02,-0.02,0.505,-0.377,0.337
search_trends_conjunctivitis,41.0,49.0,14.3,16,49,5,-0.072,-0.3,0.358,-0.358,0.339
search_trends_otitis,48.5,49.0,1.0,47,49,4,-0.171,-0.342,0.364,-0.373,0.375
search_trends_xerostomia,49.0,49.0,,49,49,1,-0.3,-0.3,,-0.3,-0.3
search_trends_balance_disorder,49.0,49.0,,49,49,1,-0.313,-0.313,,-0.313,-0.313
search_trends_infection,49.0,49.0,,49,49,1,-0.351,-0.351,,-0.351,-0.351
search_trends_aphonia,49.0,49.0,0.0,49,49,2,-0.357,-0.357,0.077,-0.412,-0.303
search_trends_shallow_breathing,49.0,49.0,,49,49,1,-0.358,-0.358,,-0.358,-0.358
search_trends_shyness,49.0,49.0,,49,49,1,-0.36,-0.36,,-0.36,-0.36
