feature,# over PCC of 0.3,# over PCC of 0.7,# over PCC of 0.8,avg. correlation,max. correlation,median correlation,avg. lag,median lag,std correlation,p-value,CI 95% lower,CI 95% upper
ageusia,20,10,4,0.695,0.853,0.7,39.4,49.0,0.109,0.0,0.644,0.746
hypoxemia,22,5,1,0.598,0.81,0.619,39.3,48.5,0.13,0.0,0.54,0.656
anosmia,19,3,0,0.567,0.728,0.595,26.3,20.0,0.126,0.0,0.506,0.628
dysgeusia,18,1,0,0.558,0.77,0.582,43.4,49.0,0.107,0.0,0.504,0.611
stretch marks,2,0,0,0.394,0.435,0.394,45.5,45.5,0.059,0.0,-0.135,0.922
bradycardia,8,0,0,0.417,0.495,0.418,25.8,31.0,0.066,0.0,0.362,0.472
palpitations,12,0,0,0.394,0.471,0.403,47.5,48.5,0.047,0.0,0.364,0.424
skin tag,4,0,0,0.365,0.446,0.346,8.8,0.5,0.056,0.0,0.275,0.454
erythema chronicum migrans,10,0,0,0.049,0.444,0.314,29.4,47.0,0.402,0.0,-0.239,0.336
telangiectasia,12,0,0,0.244,0.422,0.364,24.4,24.5,0.287,0.0,0.062,0.427
impulsivity,6,0,0,0.356,0.436,0.339,8.3,7.5,0.055,0.0,0.298,0.414
compulsive hoarding,5,0,0,0.322,0.367,0.31,28.0,30.0,0.028,0.0,0.288,0.356
eye pain,11,0,0,0.447,0.667,0.423,38.1,48.0,0.113,0.0,0.371,0.523
skin rash,11,0,0,0.187,0.489,0.394,32.6,47.0,0.41,0.0,-0.089,0.462
skin condition,9,0,0,0.199,0.434,0.346,25.2,30.0,0.359,0.0,-0.077,0.475
"avoidant personality
disorder",7,0,0,0.396,0.506,0.379,3.3,3.0,0.059,0.0,0.341,0.45
water retention,11,0,0,0.24,0.408,0.368,14.2,2.0,0.298,0.0,0.039,0.44
periorbital puffiness,3,0,0,0.412,0.513,0.394,32.0,47.0,0.094,0.0,0.179,0.645
edema,7,0,0,0.132,0.387,0.312,15.0,2.0,0.345,0.0,-0.187,0.452
hives,10,0,0,0.146,0.42,0.391,28.1,35.0,0.405,0.0,-0.144,0.436
burning mouth syndrome,6,0,0,0.374,0.497,0.356,29.0,25.5,0.065,0.0,0.306,0.443
cardiac arrest,2,0,0,-0.02,0.337,-0.02,25.0,25.0,0.505,0.0,-4.56,4.519
bells palsy,12,0,0,0.377,0.487,0.375,42.5,48.0,0.055,0.0,0.342,0.412
grandiosity,6,0,0,0.389,0.441,0.4,47.7,49.0,0.047,0.0,0.339,0.438
facial nerve paralysis,12,0,0,0.368,0.478,0.364,43.0,48.0,0.054,0.0,0.334,0.402
pus,4,0,0,0.378,0.439,0.369,32.5,41.0,0.044,0.0,0.308,0.448
photodermatitis,4,0,0,0.164,0.359,0.32,17.5,10.0,0.338,0.0,-0.373,0.702
otitis,4,0,0,-0.171,0.375,-0.342,48.5,49.0,0.364,0.0,-0.75,0.409
cheilitis,4,0,0,0.346,0.406,0.331,7.5,0.5,0.043,0.0,0.277,0.414
food intolerance,2,0,0,0.324,0.342,0.324,24.5,24.5,0.025,0.0,0.096,0.553
melasma,11,0,0,0.285,0.387,0.345,10.2,3.0,0.208,0.0,0.145,0.425
angioedema,2,0,0,0.321,0.324,0.321,30.0,30.0,0.004,0.0,0.282,0.36
round ligament pain,3,0,0,0.34,0.365,0.355,49.0,49.0,0.034,0.0,0.257,0.424
gout,4,0,0,0.321,0.367,0.307,0.0,0.0,0.031,0.0,0.271,0.371
conjunctivitis,5,0,0,-0.072,0.339,-0.3,41.0,49.0,0.358,0.0,-0.517,0.374
swollen feet,1,0,0,0.387,0.387,0.387,1.0,1.0,,0.0,,
dandruff,2,0,0,0.345,0.383,0.345,49.0,49.0,0.053,0.0,-0.135,0.825
actinic keratosis,2,0,0,0.391,0.429,0.391,2.5,2.5,0.055,0.0,-0.099,0.881
abdominal obesity,12,0,0,0.242,0.6,0.442,19.4,2.0,0.404,0.0,-0.015,0.499
allergic conjunctivitis,3,0,0,0.347,0.392,0.335,23.0,23.0,0.04,0.0,0.247,0.447
melena,2,0,0,0.437,0.55,0.437,24.5,24.5,0.161,0.0,-1.006,1.879
